Title,Genre,Director,Actor,Synopsis,Img
더 와일드: 야수들의 전쟁,"액션, 범죄",김봉한,"박성웅, 오대환, 오달수, 주석태, 서지혜","정상에 오르기 위한 야수들의 잔혹한 전쟁!

불법 사설 도박장에서 경기 중 상대를 죽인 죄로
징역 8년을 선고받은 전직 복싱 선수 ‘우철’(박성웅)

모범수로 사면된 ‘우철’은
조직으로 돌아오라는 ‘도식’(오대환)의 제안을 거절하고,
과거를 잊은 채 평범하게 살기로 결심한다

하지만 ‘우철’은 ‘도식’을 비롯해
비리 경찰 ‘정곤’(주석태)과 마약 브로커 ‘각수’(오달수)까지
인간 이하의 짐승들과 필연적으로 얽히며
야수들의 전쟁 속에 뛰어들게 되는데…

가장 강한 단 한 놈만 살아남는
무자비한 약육강식의 세계가 펼쳐진다!",https://www.kobis.or.kr/common/mast/movie/2023/11/76b1429e0be248ab92f7db9a5e00b86f.jpg
30일,코미디,남대중,"강하늘, 정소민, 조민수, 김선영","“완벽한 저에게 신은 저 여자를 던지셨죠”
지성과 외모 그리고 찌질함까지 타고난, '정열'(강하늘).

“모기 같은 존재죠. 존재의 이유를 모르겠는?”
능력과 커리어 그리고 똘기까지 타고난, '나라'(정소민).

영화처럼 만나 영화같은 사랑을 했지만
서로의 찌질함과 똘기를 견디다 못해 마침내 완벽한 남남이 되기로 한다.

그러나!
완벽한 이별을 딱 D-30 앞둔 이들에게 찾아온 것은... 동반기억상실?

올 추석,
기억도 로맨스도 날리고 웃음만 남긴 이들의
제대로 터지는 코미디가 온다!",https://www.kobis.or.kr/common/mast/movie/2023/10/8e6258584be54550a15ca96d1bb1011b.jpg
화사한 그녀,코미디,이승준,"엄정화, 송새벽","인생 역전 한방을 꿈꾸는 화사한 작전꾼 ‘지혜’
매번 허당한 실력으로 허탕만 치던 그녀에게
600억이라는 일생일대의 기회가 찾아왔다!

실패는 사치다!라는 모토 아래
영혼까지 끌어 모은 마지막 작전을 시작하는데…",https://www.kobis.or.kr/common/mast/movie/2023/09/72bc7140a4d646f4ac0043ad71ed3128.jpg
범죄도시3,"범죄, 액션",이상용,"마동석, 이준혁, 아오키 무네타카, 마동석, 김병탁","대체불가 괴물형사 마석도, 서울 광수대로 발탁!

베트남 납치 살해범 검거 후 7년 뒤,
‘마석도’(마동석)는 새로운 팀원들과 함께 살인사건을 조사한다.
사건 조사 중, ‘마석도’는 신종 마약 사건이 연루되었음을 알게 되고 수사를 확대한다.
한편, 마약 사건의 배후인 '주성철'(이준혁)은 계속해서 판을 키워가고
약을 유통하던 일본 조직과 '리키'(아오키 무네타카)까지 한국에 들어오며
사건의 규모는 점점 더 커져가는데...

나쁜 놈들 잡는 데 이유 없고 제한 없다
커진 판도 시원하게 싹 쓸어버린다!",https://www.kobis.or.kr/common/mast/movie/2023/05/71a80a4008364e119471cb94723af423.jpg
달짝지근해: 7510,코미디,이한,"유해진, 김희선, 차인표, 진선규, 한선화, 정다은","타고난 미각 100%, 현실 감각은 0% 제과 연구원 ‘치호’(유해진).
과자밖에 모르는 ‘치호’ 앞에 직진밖에 모르는 세상 긍정 마인드 ‘일영’(김희선)이 나타나고,
‘치호’는 인생의 새로운 맛을 알아가기 시작한다.
여기에 염치없고 철까지 없는 형 ‘석호’(차인표), 자아도취 제과회사 사장 ‘병훈’(진선규),
예측불가한 과몰입러 ‘은숙’(한선화)까지 제대로 엮이게 된 ‘치호’.
매일 쳇바퀴 같은 삶을 살던 그의 인생이 버라이어티한 변화로 뒤덮이기 시작하는데...
OMG 세상에 이런 맛이!
올여름, 달짝지근해진 그가 온다!",https://www.kobis.or.kr/common/mast/movie/2023/08/4aa89836d8bd4e148a787ded8c6215b6.jpg
버텨내고 존재하기,다큐멘터리,권철,,"음악을 만드는 사람의 얼굴 같은 음악
공간을 지켜내는 사람의 얼굴 같은 공간

1935년 개관, 호남지역 최초의 극장 ‘광주극장’은 오늘도 같은 자리에서 영화를 상영 중이다.
88년간 변함없는 얼굴로 관객들을 맞이했을 이곳의 매표소, 상영관, 영사실, 사무실, 계단과 복도.
이곳에 고상지&이자원, 곽푸른하늘, 김사월, 김일두, 불나방스타쏘세지클럽,
아마도이자람밴드, 정우, 최고은&주소영 등 영화를 사랑하는
국내 최고의 인디 뮤지션 8팀이 모였다.
‘버텨내고 존재하는’ 모든 것들을 위한 음악의 다정한 러브레터!
바라건데 가치있게, 흔쾌히 버텨내고 존재하기!",https://www.kobis.or.kr/common/mast/movie/2023/10/5dbc7ba1e44841dfab32ad3712110426.jpg
오픈 더 도어,"미스터리, 스릴러",장항준,"이순원, 서영주, 김수진, 강애심","이른 새벽, 미국 뉴저지의 한 세탁소에서 총성이 울려 퍼진다.
살인 사건은 세간을 떠들썩하게 하지만 범인이 잡히지 않은 채 서서히 잊혀진다.
7년 후, 행복했던 가족의 과거를 추억하던 두 남자는 술을 마시던 중
숨겨진 비밀을 마주하게 되는데…

절대 열어서는 안 되는 판도라의 상자, 당신은 여시겠습니까?",https://www.kobis.or.kr/common/mast/movie/2023/09/59e7701d615948adb65d4a049350b1cb.jpg
콘크리트 유토피아,"드라마, 기타",엄태화,"이병헌, 박서준, 박보영, 김선영, 박지후, 김도윤, 정혜윤","“아파트는 주민의 것”

온 세상을 집어삼킨 대지진, 그리고 하루아침에 폐허가 된 서울.
모든 것이 무너졌지만 오직 황궁 아파트만은 그대로다.

소문을 들은 외부 생존자들이 황궁 아파트로 몰려들자
위협을 느끼기 시작하는 입주민들.
생존을 위해 하나가 된 그들은 새로운 주민 대표 ‘영탁’을 중심으로
외부인의 출입을 철저히 막아선 채 아파트 주민만을 위한 새로운 규칙을 만든다.

덕분에 지옥 같은 바깥 세상과 달리
주민들에겐 더 없이 안전하고 평화로운 유토피아 황궁 아파트.

하지만 끝이 없는 생존의 위기 속
그들 사이에서도 예상치 못한 갈등이 시작되는데...!

살아남은 자들의 생존 규칙
따르거나
떠나거나",https://www.kobis.or.kr/common/mast/movie/2023/08/3b27ff34ec6d4214ad7aa177bfabbcba.jpg
써클,스릴러,박승배,"강수연, 정웅인, 최정윤","다섯 명의 여인을 살해한 후 그 시체에 그림을 그리는 등 엽기적인 행각을 벌이던 연쇄 살인범 조명구가 여섯 번째 범행을 저지른 현장에서 검거된다. 화려한 머리염색과 예상 못할 돌출 행동으로 유명한 열혈 여검사 오현주는 명구의 유죄를 확신하며 사형을 주장하고, 현주의 대학 동창이자 과거의 연인이었더 윤병두가 국선 변호를 자원하게 된다. 국립과학 수사 연구소 자료실 안에서 발견된 성행위 도중 성기가 빠지지 않은 채 죽었다는 왜정 때의 산홍이와 광림의 '성기 표본'과 죽은 산홍의 시체 속에서 한달 동안이나 생명을 유지한 '영아의 표본'... 명구가 범인이 아니라고 주장하는 미향의 등장.. 최면술을 통해 명구와 미향이 전행의 광림과 산홍이라는 사실이 밝혀지고, 수사는 갈수록 미궁으로 빠지게 되는데.. ..인생은 그들을 둘러싸고 또 다시 톱니바퀴처럼 맞물려 돌아가고 있다...",https://www.kobis.or.kr/common/mast/movie/2023/11/ac2f819faf3c4960a8b25e074e3a833c.jpg
롱디,"멜로/로맨스, 코미디",임재완,"장동윤, 박유나, 고건한, 이시우","“5년 만나는 동안 이렇게 떨어져 본 적이 있나?”

여자친구 ‘태인’의 갑작스러운 이사로 계획에도 없는 장거리 연애를 시작한 ‘도하’.
매일 같이 쉴 새 없이 이어지는 카톡과 영상통화에도
넘쳐나는 사랑을 표현하기에는 한없이 모자란 ‘도하’는 ‘태인’ 몰래 프로포즈를 준비한다.

하지만 점점 뜸해지는 ‘태인’의 연락.
‘도하’는 예전 같지 않은 ‘태인’에게 점점 믿음이 깨지는 것을 느끼는데…

화면 너머로 사랑을 이어가는 건 정말 어려운 걸까?
MZ 세대가 전하는 이 시대의 새로운 사랑법!",https://www.kobis.or.kr/common/mast/movie/2023/04/b8c5f2b2054e4ada9764c0df3153f963.jpg
화란,드라마,김창훈,"홍사빈, 송중기, 김형서",지옥 같은 현실에서 벗어나고 싶은 소년 ‘연규’가 조직의 중간 보스 ‘치건’을 만나 위태로운 세계에 함께 하게 되며 펼쳐지는 이야기,https://www.kobis.or.kr/common/mast/movie/2023/10/6abe73ab56044b5688e44d49789db2f4.jpg
괴담만찬,공포(호러),안상훈,"장승연, 신은수, 김호정, 김태훈, 조재윤, 윤현민, 장광, 손지나, 이주영, 김주령","소원을 이루기 위해 무심코 한 댄스 챌린지
한강 다리 밑 목 꺾인 도플갱어가 알려준 입시 비법
잭팟 터트린 후 절대 가면 안 되는 ◆◆모텔 307호의 비밀
고급 ●●아파트 입주민 전용 헬스장의 금기
■■연구실에서 현재 진행 중인 잔인한 실험
구독자 154만 먹방 BJ가 라이브 중 저지른 돌출 행동
욕망에 눈먼 이들에게 닥친 죽음보다 더한 공포!",https://www.kobis.or.kr/common/mast/movie/2023/09/e63d5964b0d040f9ab18d8f6682ee90f.jpg
빈틈없는 사이,멜로/로맨스,이우철,"이지훈, 한승연","벽 사이로 옆집과의 기막힌 동거!

가수의 꿈을 위해 오디션을 준비 중인 ‘승진’(이지훈).
죽마고우 친구들과 발품 팔아 구한 방에서 첫날 밤을 보내려는 순간,
어디선가 들려오는 한 맺힌 여인의 울음소리! 소리의 정체는 바로,
방음이 전혀 안 되는 집 때문에 다양한 방법으로 이사 오는 족족
옆집을 내쫓았던 ‘라니’(한승연)의 방해 공작!
하지만 승진은 호락호락한 상대가 아니었다!
벽 너머를 오가는 기상천외한 소음전쟁 끝에,
시간을 나눠 쓰는 동거 아닌 동거가 시작되고!
이름도, 얼굴도 모르는 서로의 일상을 공유하며
점점 미묘한 감정에 사로잡히는데…

살벌달콤 신개념 철벽 로맨스!
휴식도 연애도 쉴 틈 없이 빈틈없는 우리 사이, 이런 연애 처음일걸?",https://www.kobis.or.kr/common/mast/movie/2023/07/28d8dba6123c4d32bc8690a583e7cac7.jpg
핸드폰,스릴러,김한민,"엄태웅, 박용우, 박솔미","잃어버린 순간, 표적이 된다! 연예계 밑바닥부터 시작해 오직 성공만을 향해 달려 온 매니저 승민(엄태웅). 매일 밤 끊이지 않는 술자리 접대 때문에 사채업자에게 가족의 신변마저 위협당하고 있는 승민에게 여배우 진아(이세나)는 마지막 희망이자 전부다. 그런 승민에게 진아의 억대 CF 계약을 목전에 두고 진아의 섹스동영상을 갖고 있다는 진아의 남자친구 윤호(김남길)이 협박을 해온다. 승민의 핸드폰에 문제의 동영상을 전송하고, 돈을 요구하는 윤호. 승민은 사태를 해결하기 위해 고군분투하다, 핸드폰을 실수로 잃어버리고 패닉 상태에 빠진다. 돌려받고 싶어? 어떤 대가를 치르더라도? 초조해진 승민은 핸드폰을 주운 누군가가 핸드폰에 담긴 문제의 섹스동영상을 봤다고 직감한다. 몇 차례 시도 끝에 드디어 핸드폰을 습득한 이규(박용우)와 통화를 하게 된 승민. 자신의 정체를 숨긴 채 이규는 핸드폰을 되돌려 주는 조건으로 세 가지 조건을 내건다. 첫째, 전화를 공손하게 받을 것. 둘째, 반말하지 말 것. 셋째, 자신이 지목한 누군가를 손 봐 줄 것. 자신의 인생을 송두리째 뒤바꿀 수 있는 치명적 비밀이 담긴 핸드폰을 되찾기 위해 승민은 이규의 요구대로 꼭두각시처럼 움직인다. 하지만 점점 더 걷잡을 수 없이 위험해지는 요구에 승민은 이규를 잡기 위한 목숨 건 추적을 시작한다.",https://www.kobis.or.kr/upload/up_img/cleansing/42/mov_20090042_8.jpg
극락도 살인사건,"공포(호러), 미스터리, 스릴러",김한민,"박해일, 박솔미, 성지루","1986년, 아시안게임으로 세상이 떠들썩하던 9월. 목포앞바다에서 토막 난 사람 머리통이 발견된다. 사체 부검 결과, 토막 난 머리통의 주인이 인근에 위치한 섬, 극락도 주민이라는 사실이 밝혀지고 특별조사반은 본격적인 수사를 위해 사건 현장 탐문에 나선다. 형사들은 송전 기사의 합숙소와 보건소로 추정되는 곳에서 살인사건의 흔적으로 보이는 핏자국과 부서진 무전기 등을 발견하지만, 끝내 한 구의 시체도 찾아내지 못한다. 바깥 세상 돌아가는 일엔 도통 관심이 없는 듯 순박하기만 한 섬주민 17명이 사는 작은 섬, 극락도. 천국 같은 이 곳에서 끔찍한 살인사건이 발생한다. 김노인의 칠순 잔치가 벌어진 다음날 아침, 두 명의 송전기사의 사체가 발견된 것. 함께 화투판에 있었던 덕수(권명환 분)가 유력한 용의자로 떠오르지만 그의 행방마저 묘연한 채 사건은 미궁으로 빠져든다. 섬 주민 전원이 용의자일수도, 피해자 일수도 있는 혼란스러운 상황, 난생 처음 살인사건을 맞닥뜨린 마을 사람들은 보건 소장 제우성(박해일 분)을 필두로 화투판 살인사건 범인을 추리하는데 열을 올리지만, 이웃들의 주검만 늘어간다. 한편, 우연한 기회에 이번 살인사건과 관련된 듯한 모종의 쪽지를 발견한 학교 소사 춘배(성지루 분)는 쪽지의 의미를 알아내기 위해 혈안이 되는데..",https://www.kobis.or.kr/upload/up_img/cleansing/x00/00/74/mov_20070104_37504.jpg
홀리데이,"드라마, 스릴러, 범죄",양윤호,"이성재, 최민수","단 1초라도... 맑은 공기를 마시며 죽고 싶다... 1988년 10월... 올림픽이라는 세계적인 행사를 끝마치고 세계 4위라는 감흥에서 빠져 나오지 못했던 그 때... 징역 7년, 보호감호 10년형을 받아 복역중인 지강혁과 죄수들이 호송차를 전복 탈출하는 세상을 깜짝 놀라게 하는 사건이 발생한다. 살아도 같이 살고 죽어도 같이 죽는다! 권총 1정과 실탄을 빼앗아 무장탈주에 성공한 강혁과 일당들은 원정강도와 가정집을 돌며 인질극을 벌이는 등 서울을 공포의 도가니로 몰아넣는다. 하지만 인질로 잡힌 사람들은 매스컴에서 말하는 흉악범이라는 이야기와 달리 인간적이고 예의바른 강혁 일당에게 연민의 정을 느끼게 된다. 有錢無罪 無錢有罪 그렇게 탈주 9일째 되던 날, 북가좌동의 가정집에 숨어있던 강혁 일당은 자신들을 끈질기게 쫓던 경찰관 안석에게 발각되고 경찰과 최후의 대치극을 펼치게 된다. 강혁의 마지막 소원인 비지스의 `Holiday`가 울려 퍼지는 가운데 지강혁은 자신들을 둘러 싸고 있는 경찰과 매스컴을 향해 외친다. ""유전무죄, 무전유죄. 돈이 있으면 죄가 없고 돈이 없으면 죄가 된다..."" 울리는 총성! 강혁의 외침은 TV 등 매스컴을 통해 전국으로 울려 퍼지고, 강혁은 일당들과 함께 최후의 선택을 하게 되는데...",https://www.kobis.or.kr/upload/up_img/cleansing/x00/00/06/mov_20050349_32068.jpg
1947 보스톤,드라마,강제규,"하정우, 임시완","“나라가 독립을 했으면 당연히 우리 기록도 독립이 되어야지!”

1936년 베를린 올림픽, 세계 신기록을 세운 마라톤 금메달리스트 ‘손기정’.
기미가요가 울려 퍼지는 시상대에서 화분으로 가슴에 단 일장기를 가렸던 그는
하루아침에 민족의 영웅으로 떠올랐지만
일제의 탄압으로 더 이상 달릴 수 없게 된다.

광복 이후 1947년 서울,
제2의 손기정으로 촉망받는 ‘서윤복’에게 ‘손기정’이 나타나고
밑도 끝도 없이 ‘보스톤 마라톤 대회’에 나가자는 제안을 건넨다.
일본에 귀속된 베를린 올림픽의 영광을 되찾기 위해
처음으로 태극마크를 가슴에 새기고 달려 보자는 것!

운동화 한 켤레 살 돈도 없던 대한의 마라토너들은
미국 보스톤으로 잊을 수 없는 여정을 시작하는데…",https://www.kobis.or.kr/common/mast/movie/2023/10/2c7bffbf5cd444f889d83c1af36d3fbd.jpg
타겟,스릴러,박희곤,"신혜선, 김성균, 임성재",영화 <타겟>은 중고거래로 범죄의 표적이 된 수현의 일상 속에서 벌어지는 서스펜스를 담은 스릴러,https://www.kobis.or.kr/common/mast/movie/2023/08/2205177b673543e199c03f8b7edf74cf.jpg
가문의 영광: 리턴즈,코미디,정태원,"윤현민, 유라, 김수미, 탁재훈","전설의 가문이 돌아왔다!
가문의 영광은 결혼?! 사생결단 결혼성사 대작전이 펼쳐진다!

돈과 권력을 쥐고 있는 전설의 장씨 가문!
가문의 수장 ‘홍회장’에게 골칫거리가 딱 하나 있는데, 비혼주의를 선언한 막내딸 ‘진경’이다.
어느 날 ‘진경’은 처음 본 남자 ‘대서’와 하룻밤을 보내게 되고
이 사실을 알게 된 장씨 가문은 일등 사윗감의 조건을 두루 갖춘 ‘대서’와 ‘진경’을
결혼시키기 위해 온갖 음모를 꾸미기 시작하는데…

장씨 가문에게 던져진 지상 최대의 과제!
세기의 결혼은 과연 성공할 수 있을까?",https://www.kobis.or.kr/common/mast/movie/2023/09/4f6f8760de4d484b80898aab4493e920.jpg
거미집,"코미디, 드라마",김지운,"송강호, 임수정, 오정세, 전여빈, 정수정, 박정수, 장영남","“결말만 바꾸면 걸작이 된다, 딱 이틀이면 돼!”

1970년대 꿈도 예술도 검열당하던 시대
성공적이었던 데뷔작 이후, 악평과 조롱에 시달리던 김감독(송강호)은
촬영이 끝난 영화 ‘거미집’의 새로운 결말에 대한 영감을 주는 꿈을 며칠째 꾸고 있다.
그대로만 찍으면 틀림없이 걸작이 된다는 예감, 그는 딱 이틀 간의 추가 촬영을 꿈꾼다.
그러나 대본은 심의에 걸리고, 제작자 백회장(장영남)은 촬영을 반대한다.
제작사 후계자인 신미도(전여빈)를 설득한 김감독은 베테랑 배우 이민자(임수정), 톱스타 강호세(오정세), 떠오르는 스타 한유림(정수정)까지 불러 모아 촬영을 강행하지만, 스케줄 꼬인 배우들은 불만투성이다.
설상가상 출장 갔던 제작자와 검열 담당자까지 들이닥치면서 현장은 아수라장이 되는데…

과연 ‘거미집’은 세기의 걸작으로 완성될 수 있을까?",https://www.kobis.or.kr/common/mast/movie/2023/09/e846ed9d5fab45fba443b950f913ac88.jpg
버닝,미스터리,이창동,"유아인, 스티븐 연, 전종서","“이제 진실을 얘기해봐”
유통회사 알바생 종수(유아인)는 배달을 갔다가 어릴 적 같은 동네에서 살았던 해미(전종서)를 만나고, 그녀에게서 아프리카 여행을 간 동안 자기가 키우는 고양이를 돌봐 달라는 부탁을 받는다. 여행에서 돌아온 해미는 아프리카에서 만난 벤(스티븐 연)이라는 정체불명의 남자를 종수에게 소개한다.

어느 날 벤은 해미와 함께 종수의 집으로 찾아와 자신의 비밀스러운 취미에 대해 고백한다. 그때부터 종수는 무서운 예감에 사로잡히게 되는데...",https://www.kobis.or.kr/common/mast/movie/2018/04/121382232f6644b59e88abf8fad6ea13.jpg
소울메이트,드라마,민용근,"김다미, 전소니, 변우석","“날도 더웠고 수업도 지루했고.. 그렇게 졸리고 나른하던 날에 너를 처음 만났어”
1998년, 처음 만났다

“누굴 좋아하면 용기내야 된대”
2004년, 첫사랑이 생겼다

“몰랐어? 나 원래 이렇게 살아”
2010년, 각자 어른이 되어간다

“가장 그리운 건…너였어”
2014년, 흔적을 따라간다

“이젠 니 얼굴을 그리고 싶어. 사랑없인 그릴 수조차 없는 그림 말이야”
지금, 그리움을 그리다

2023년 3월 15일, 당신의 <소울메이트>가 찾아옵니다.",https://www.kobis.or.kr/common/mast/movie/2023/03/c5958c4027fd42a3ab5e9b7d2f961687.jpg
비공식작전,드라마,김성훈,"하정우, 주지훈",실종된 동료를 구하기 위해 레바논으로 떠난 외교관 민준과 현지 택시기사 판수의 버디 액션 영화,https://www.kobis.or.kr/common/mast/movie/2023/08/745a5d6e9bd24074b86285c230d3e109.jpg
